bytes,btree,fnv,xx,farm,horner,btreenew,sip
1,130228,42980,106075,108687,76324,72958,80230
2,129914,74100,105540,107420,76492,75966,82008
4,132442,77000,109620,113400,85030,81766,85640
8,140933,94810,113555,131112,87833,89840,87109
16,149133,123506,126587,232550,104065,98520,101522
32,165330,180840,165566,329000,121462,111425,127399
64,198200,275249,202880,417268,166400,146083,175040
128,268100,423775,280283,650900,247566,214600,283233
256,410250,782450,444800,1074700,416300,352700,482300
512,706400,1503700,797100,1923700,754300,648000,900700
1024,1325000,2983300,1508475,3675800,1503700,1271300,1738700
2048,2519350,6055300,3189350,7228200,3199750,2482800,3639650
