bytes,sip,btree,btreenew,horner,xx,fnv,farm
1,76042,146033,105966,64399,79158,36656,82990
2,160207,235549,187340,158970,166242,139277,162970
4,158172,235900,188340,161760,164025,138285,169520
8,161570,236250,188580,153955,148907,145107,173162
16,167208,237900,189400,161849,151131,156212,230845
32,161747,240075,190300,152237,167727,162767,283708
64,181806,241750,192175,150822,173012,207352,328756
128,217833,243087,193260,165650,181315,292166,413637
256,300483,248666,198675,190365,203455,463225,597775
512,446650,257950,207675,240499,241187,801700,968600
1024,750200,267266,215500,343350,325633,1480800,1706700
2048,1348900,277233,224025,546900,474000,2836600,3177100
