bytes,xx,fnv,btree,btreenew,sip,farm,horner
1,67285,26605,103480,68314,64846,67841,53388
2,70600,59046,109155,84890,66217,67014,52535
4,70045,61040,114550,107093,69153,71012,55362
8,73561,74216,125546,112275,67822,86933,58531
16,86067,97788,131292,124421,83237,156420,77772
32,117125,140845,142008,128400,108211,207381,87405
64,140237,200137,160850,148333,142275,302899,118457
128,184000,298912,196420,181425,232500,413300,167060
256,280925,548300,281850,258850,376350,681900,274483
512,513537,1042600,429525,395400,680900,1199600,521000
1024,860950,2028200,739950,697400,1282400,2322300,887162
2048,1623300,4015300,1383400,1342800,2517150,4338750,1709300
