bytes,sip,fnv,farm,horner,xx,btreenew,btree
1,59100,24044,62528,49105,60428,39682,81030
2,60733,43736,62613,49260,63207,40760,79663
4,67272,46330,64660,51587,62774,48912,81854
8,69400,59242,78216,55248,67646,52259,85550
16,82463,84830,145200,68451,78433,61738,93466
32,111706,135041,202887,82590,107275,77118,113050
64,158033,202118,271558,119587,137071,101587,139133
128,246750,308233,394525,167642,184080,142949,179535
256,415600,556300,622650,269354,288866,223725,262100
512,813000,1059550,1070000,464337,499050,376787,423587
1024,1461600,2073000,1968600,988800,1002000,701400,745300
2048,2862300,4119800,3935800,1838800,2007600,1356825,1395000
