bytes,farm,xx,btree,fnv,horner,btreenew,sip
1,71060,66997,124921,30883,57399,83478,70635
2,142070,140080,210050,120331,138789,157880,141782
4,142700,140477,209543,120189,138135,157175,141247
8,151040,135316,209793,126149,137228,157912,144756
16,213834,143535,210365,137658,141639,158575,152445
32,255583,141547,211184,145360,130152,159715,150383
64,280787,148822,212584,193824,131722,161087,175287
128,371450,160410,213225,280058,142333,162470,221924
256,514250,185824,216806,451600,161800,167025,313462
512,805450,233383,225300,798000,201312,175250,506950
1024,1390300,327850,232400,1488700,281733,183080,878700
2048,2712600,508100,239125,2865800,429600,190625,1611700
