bytes,sip,farm,horner,btree,xx,fnv,btreenew
1,55036,59037,49664,109600,56534,25513,74897
2,117252,122064,119092,185337,118835,99576,139950
4,119417,121795,118253,185640,117913,102921,141108
8,119048,130716,117073,185885,118526,109577,140925
16,122871,182506,119999,186190,119367,119417,141318
32,121228,220678,110589,187110,120102,126666,142385
64,136647,242562,113871,188385,121353,167325,143933
128,172205,318924,120956,188880,130368,245316,145070
256,244574,448787,136741,193081,147250,404150,148824
512,389125,711300,169440,200237,181300,718650,156433
1024,677600,1230800,235999,207175,249833,1343600,164260
2048,1240800,2422700,368200,213875,381050,2592800,171020
